psraid,sample,lang,fips,state,cregion,density,usr,pial1,eminuse,intmob,pialql1,ql1a,qc1,smart1,pial2,pial3,pial4,pial5a,pial5b,pial5c,pial5d,pial5e,pial5f,pial6,pial7,pial8a,pial8b,pial8c,pial8d,pial9,pial10,pial11,pial12,SmartPhone,ql1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,raceos,iphoneuse,hphoneuse,weight,standwt
100006,1,1,24003,24,3,4,S,1,1,1,1, , ,1,1,1,2,3,4,1,3,1,3, ,2000,2,2,2,2,1,2,1,1,1,1,2,1,1,2,52,6,2,2,9,4,1,2, , ,2,2,2.4375,.795522010374999
100032,1,1,34041,34,1,2,S,2,2,2,2,2, , , , , ,1,1, , , , , , , , , , , , , , ,3,2,1,3,2,2,86,3,2,1,2,1,1,1, , ,1,1,2.96875,.968905012636217
100034,1,1,25027,25,1,3,S,1,1,1,1, , ,1,1,1,1,2,3,1,2,3,2,1,2013,2,1,2,1,1,2,2,1,1,1,2,1,1,2,41,5,1,6,2,1,2,2, ,PUERTO RICAN,2,2,5.125,1.6726360218141
100048,1,1,45045,45,3,3,S,1,1,1,1, , ,1,1,1,1,1,4,1,1,1,4,2,1999,1,2,2,1,2,1,1,1,1,1,2,2,1,2,45,8,2,1,8,4,1,3,1, ,2,2,2.03125,.662935008645832
100063,1,1,21101,21,3,1,S,1,1,1,1, , ,1,1,1,1,2,4,2,1,2,4,1,2000,1,2,2,1,1,1,1,1,1,1,2,1,2,1,50,4,2,1,8,4,1,1, , ,2,2,2.53125,.826119010774037
100068,1,1,29095,29,2,4,S,1,1,1,1, , ,1,1,1,2,3,2,1,1,3,3,1,1990,1,2,2,2,1,1,1,1,1,1,3,2,2,1,56,5,2,1,6,3,1,3,2, ,2,2,3.03125,.989303012902242
100077,1,1,47157,47,3,4,S,2,2,2,2,1, , , , , ,1,2, , , , , , , , , , , , , , ,3,2,2,3,2,1,85,3,2,1,3,1,3,2, , ,1,2,3.65625,1.1932830155625
100088,1,1,12001,12,3,2,U,1,1,1,1, , ,1,1,1,1,3,3,2,1,1,4,1,1996,1,2,2,1,4,1,1,1,1,1,2,1,1,2,43,8,2,1,9,4,1,1, , ,2,2,2.6875,.877114011439101
100091,1,1,33001,33,1,2,R,1,1,1,1, , ,8,1,1,1,2,2,4,5,5,4,1,1999,2,2,1,2,2,1,2,1,2,1,2,1,2,2,61,5,2,1,7,4,1,3,1, ,2,2,2.15625,.703731009177884
100094,1,1,13067,13,3,4,S,1,1,1,1, , ,1,1,1,1,1,4,1,1,1,1,2,2003,2,2,2,2,1,1,1,1,1,1,2,1,2,2,55,3,2,1,8,4,1,4,9, ,2,2,2.5625,.83631801090705
100102,1,1,22085,22,3,1,R,1,1,1,1, , ,2,1,1,1,2,2,2,4,4,6, ,2006,2,2,2,2,4,4,1,1,2,1,1,1,2,1,41,3,2,1,4,2,1,1, , ,2,2,1.78125,.58134300758173
100105,1,1,37129,37,3,4,S,1,1,1,1, , ,1,1,1,4,1,1,4,1,1,3,2,1990,1,2,2,2,3,1,1,1,1,1,2,3,1,2,56,5,2,1,5,2,1,3,2, ,2,2,2.0625,.673134008778845
100108,1,1,39035,39,2,5,S,1,1,2,1, , ,2,2, , ,1,1,2,1,1,4,2,1994,2,2,2,1,1,1,1,1,2,1,1,3,2,2,99,6,2,1,99,9,1,1, , ,2,2,1.0625,.346766004522435
100112,1,1,29207,29,2,1,R,1,1,1,1, , ,2,2, , ,1,1,2,3,4,6, ,9999,2,2,2,2,1,1,1,1,2,1,2,3,2,2,72,4,2,1,6,3,1,1, , ,2,2,1.4375,.469154006118589
100113,1,1,51171,51,3,1,R,1,1,1,1, , ,1,1,1,1,2,4,2,1,1,4,1,2002,1,2,1,1,1,1,2,1,1,1,2,1,1,2,35,3,2,1,99,4,1,3,9, ,2,2,3.78125,1.23407901609455
100115,1,1,48039,48,3,2,S,1,1,2,1, , ,8,1,1,4,1,4,2,1,1,1,2,1992,2,2,2,2,1,1,1,1,2,1,2,3,2,1,88,6,2,1,6,3,1,1, , ,2,2,1.03125,.336567004389423
100120,1,1,31119,31,2,1,R,2,2,2,1, , ,8, , , ,8,1,1, , , , , , , , , , , , , ,2,1,1,3,2,2,91,2,2,1,99,1,3,1, , ,2,2,1.125,.367164004788461
100122,1,1,28067,28,3,1,R,1,1,1,1, , ,1,1,1,2,2,1,3,4,2,4, ,1988,1,2,1,1,4,1,2,3,1,1,2,3,2,2,52,4,2,1,8,4,1,4,9, ,2,2,2.5625,.83631801090705
100129,1,1,13063,13,3,4,S,2,1,2,2,1, , ,1,1,2,1,1, ,2,2,4,2,2011,2,2,2,2,1,1,1,1,3,2,2,3,2,1,74,6,2,1,6,3,1,1, , ,1,2,2,.65273600851282
100131,1,1,55087,55,2,2,U,1,1,1,1, , ,2,1,1,2,1,2,4,2,4,6,1,1992,2,2,2,2,1,1,1,1,2,1,2,1,2,1,54,5,2,1,9,4,1,3,2, ,2,2,2.90625,.948507012370191
100139,1,1,12083,12,3,2,S,1,1,1,1, , ,1,1,1,2,1,4,1,1,1,4,2,2000,2,2,2,2,1,8,1,1,1,1,1,3,2,1,70,4,2,1,4,2,1,2, , ,2,2,1.0625,.346766004522435
100140,1,1,17111,17,2,3,S,1,1,2,1, , ,1,2, , ,3,2,3,1,1,3,1,1998,2,2,2,1,2,4,1,1,1,1,3,2,2,2,18,2,2,1,7,4,3,3,2, ,2,2,3.21875,1.05049701370032
100142,1,1,42133,42,1,3,S,1,1,2,1, , ,2,1,1,4,1,4,1,1,1,1,2,2008,2,2,2,2,1,1,1,1,2,1,1,2,2,1,64,4,2,1,3,1,1,1, , ,2,2,1.65625,.540547007049679
100143,1,1,12095,12,3,4,U,1,1,2,1, , ,2,1,1,2,1,1,4,3,3,4, ,2003,1,1,1,1,4,1,3,1,2,1,3,3,2,2,52,3,2,1,99,2,1,2, , ,2,2,3.90625,1.2748750166266
